id	audio	duration_ms	n_frames	tgt_text	speaker	tgt_lang
train-10	/path/to/datasets/conll04/audio/train/train-10.wav:0:201561	12597	201561	<triplet> Bob Boyd <subj> Chattanooga <obj> Live_In <subj> Tenn. <obj> Live_In <triplet> Chattanooga <subj> Tenn. <obj> Located_In	0	en
train-11	/path/to/datasets/conll04/audio/train/train-11.wav:0:58898	3681	58898	<triplet> Rome <subj> Lazio <obj> Located_In <triplet> Naples <subj> Campania <obj> Located_In	0	en
train-12	/path/to/datasets/conll04/audio/train/train-12.wav:0:191530	11970	191530	<triplet> State Department <subj> U.S. <obj> OrgBased_In <triplet> Harvard <subj> U.S. <obj> OrgBased_In	0	en
train-13	/path/to/datasets/conll04/audio/train/train-13.wav:0:53325	3332	53325	<triplet> Mikhail Shevtsov <subj> ITAR-TASS <obj> Work_For	0	en
train-14	/path/to/datasets/conll04/audio/train/train-14.wav:0:146205	9137	146205	<triplet> Allan Fitzmaurice. <subj> XBT <obj> Work_For	0	en
train-15	/path/to/datasets/conll04/audio/train/train-15.wav:0:88619	5538	88619	<triplet> Betsy Ross <subj> Philadelphia <obj> Live_In	0	en
train-16	/path/to/datasets/conll04/audio/train/train-16.wav:0:75616	4726	75616	<triplet> Fire Island National Seashore <subj> Patchogue <obj> Located_In <subj> N.Y. <obj> Located_In <triplet> Patchogue <subj> N.Y. <obj> Located_In	0	en
train-17	/path/to/datasets/conll04/audio/train/train-17.wav:0:98279	6142	98279	<triplet> XINHUA <subj> Beijing <obj> OrgBased_In	0	en
train-18	/path/to/datasets/conll04/audio/train/train-18.wav:0:181871	11366	181871	<triplet> Boise <subj> Idaho <obj> Located_In	0	en
train-19	/path/to/datasets/conll04/audio/train/train-19.wav:0:263234	16452	263234	<triplet> Santa Ana <subj> Southern California <obj> Located_In	0	en
train-20	/path/to/datasets/conll04/audio/train/train-20.wav:0:198218	12388	198218	<triplet> Strom Thurmond <subj> Congress <obj> Work_For	0	en
train-21	/path/to/datasets/conll04/audio/train/train-21.wav:0:213078	13317	213078	<triplet> Congress <subj> U.S. <obj> OrgBased_In <subj> U.S. <obj> OrgBased_In	0	en
train-22	/path/to/datasets/conll04/audio/train/train-22.wav:0:232026	14501	232026	<triplet> Charles Guiteau <subj> President James Garfield <obj> Kill	0	en
train-23	/path/to/datasets/conll04/audio/train/train-23.wav:0:45152	2822	45152	<triplet> SPACE CENTER <subj> Houston <obj> OrgBased_In	0	en
train-24	/path/to/datasets/conll04/audio/train/train-24.wav:0:124285	7767	124285	<triplet> Sirhan B. Sirhan <subj> Kennedy <obj> Kill	0	en
train-25	/path/to/datasets/conll04/audio/train/train-25.wav:0:252459	15778	252459	<triplet> Woodrow Wilson <subj> Staunton , Va <obj> Live_In	0	en
train-26	/path/to/datasets/conll04/audio/train/train-26.wav:0:300385	18774	300385	<triplet> Peter Butler <subj> A. Copeland Enterprises Inc. <obj> Work_For <triplet> Henry A. Politz <subj> 5th U.S. Circuit Court of Appeals <obj> Work_For	0	en
train-27	/path/to/datasets/conll04/audio/train/train-27.wav:0:44780	2798	44780	<triplet> PURCHASE <subj> N.Y . <obj> Located_In	0	en
train-28	/path/to/datasets/conll04/audio/train/train-28.wav:0:290726	18170	290726	<triplet> Martin Van Buren <subj> Kinderhook , N.Y. <obj> Live_In	0	en
train-29	/path/to/datasets/conll04/audio/train/train-29.wav:0:74873	4679	74873	<triplet> U.S. Coast Guard Training Center <subj> Petaluma <obj> OrgBased_In <subj> Calif. <obj> OrgBased_In <triplet> Petaluma <subj> Calif. <obj> Located_In	0	en
train-30	/path/to/datasets/conll04/audio/train/train-30.wav:0:187815	11738	187815	<triplet> IZVESTIYA <subj> Moscow <obj> OrgBased_In	0	en
train-31	/path/to/datasets/conll04/audio/train/train-31.wav:0:175555	10972	175555	<triplet> Pepperell <subj> West Point <obj> OrgBased_In <subj> Ga. <obj> OrgBased_In <triplet> West Point <subj> Ga. <obj> Located_In	0	en
train-32	/path/to/datasets/conll04/audio/train/train-32.wav:0:201933	12620	201933	<triplet> John Harvey Adamson <subj> Don Bolles <obj> Kill	0	en
train-33	/path/to/datasets/conll04/audio/train/train-33.wav:0:134316	8394	134316	<triplet> Michael R. Gordon <subj> Montgomery County House delegation <obj> Work_For	0	en
train-34	/path/to/datasets/conll04/audio/train/train-34.wav:0:245772	15360	245772	<triplet> Vyacheslav Chornovil <subj> Ukrainian Popular Rukh <obj> Work_For	0	en
train-35	/path/to/datasets/conll04/audio/train/train-35.wav:0:284039	17752	284039	<triplet> Slavko Mestrovic <subj> Croatian People 's Party <obj> Work_For	0	en
train-36	/path/to/datasets/conll04/audio/train/train-36.wav:0:88248	5515	88248	<triplet> Port Arther <subj> Texas. <obj> Located_In <triplet> Galveston <subj> Texas. <obj> Located_In	0	en
train-37	/path/to/datasets/conll04/audio/train/train-37.wav:0:248744	15546	248744	<triplet> George Tompkins <subj> KAL <obj> Work_For	0	en
train-38	/path/to/datasets/conll04/audio/train/train-38.wav:0:139146	8696	139146	<triplet> Lumberton <subj> N.C. <obj> Located_In	0	en
train-39	/path/to/datasets/conll04/audio/train/train-39.wav:0:96050	6003	96050	<triplet> Jack Ruby <subj> Oswald <obj> Kill	0	en
train-40	/path/to/datasets/conll04/audio/train/train-40.wav:0:288868	18054	288868	<triplet> Jean Bertrand Aristide <subj> Haiti <obj> Live_In	0	en
train-41	/path/to/datasets/conll04/audio/train/train-41.wav:0:174440	10902	174440	<triplet> Robert Ford <subj> Jesse James <obj> Kill	0	en
train-42	/path/to/datasets/conll04/audio/train/train-42.wav:0:157722	9857	157722	<triplet> Robert Bernero <subj> NRC <obj> Work_For	0	en
train-43	/path/to/datasets/conll04/audio/train/train-43.wav:0:193016	12063	193016	<triplet> Datuk Sri Dr. Mahathir <subj> Malaysia <obj> Live_In	0	en
train-44	/path/to/datasets/conll04/audio/train/train-44.wav:0:32892	2055	32892	<triplet> AP <subj> SAN FRANCISCO <obj> OrgBased_In	0	en
train-45	/path/to/datasets/conll04/audio/train/train-45.wav:0:35864	2241	35864	<triplet> ITAR-TASS <subj> Moscow <obj> OrgBased_In	0	en
train-46	/path/to/datasets/conll04/audio/train/train-46.wav:0:382490	23905	382490	<triplet> The Environmental Protection Agency <subj> Washington , D.C. <obj> OrgBased_In <triplet> Robin Woods <subj> The Environmental Protection Agency <obj> Work_For <triplet> Woods <subj> The Environmental Protection Agency <obj> Work_For	0	en
train-47	/path/to/datasets/conll04/audio/train/train-47.wav:0:175183	10948	175183	<triplet> Woodrow Wilson <subj> Virginia <obj> Live_In	0	en
train-48	/path/to/datasets/conll04/audio/train/train-48.wav:0:100137	6258	100137	<triplet> Gerald Schwartz. <subj> Miami Beach <obj> Live_In	0	en
train-49	/path/to/datasets/conll04/audio/train/train-49.wav:0:307444	19215	307444	<triplet> Lee Harvey Oswald <subj> President Kennedy <obj> Kill <subj> Dallas Police Officer J.D. Tippit. <obj> Kill	0	en
train-50	/path/to/datasets/conll04/audio/train/train-50.wav:0:206763	12922	206763	<triplet> Prince Ranariddh <subj> Cambodia <obj> Live_In <subj> Phnom Penh government <obj> Work_For <triplet> Phnom Penh government <subj> Cambodia <obj> OrgBased_In	0	en
train-51	/path/to/datasets/conll04/audio/train/train-51.wav:0:48867	3054	48867	<triplet> Church 's <subj> San Antonio <obj> OrgBased_In	0	en
train-52	/path/to/datasets/conll04/audio/train/train-52.wav:0:145090	9068	145090	<triplet> Benton <subj> Tenn. <obj> Located_In <triplet> Tennessee Tech <subj> Tenn. <obj> OrgBased_In <subj> Cookville <obj> OrgBased_In <triplet> Cookville <subj> Tenn. <obj> Located_In	0	en
train-53	/path/to/datasets/conll04/audio/train/train-53.wav:0:123542	7721	123542	<triplet> Harold Lloyd <subj> Burchard , Neb <obj> Live_In	0	en
train-54	/path/to/datasets/conll04/audio/train/train-54.wav:0:30291	1893	30291	<triplet> BTA <subj> Sofia <obj> OrgBased_In	0	en
train-55	/path/to/datasets/conll04/audio/train/train-55.wav:0:88619	5538	88619	<triplet> Betsy Ross <subj> Philadelphia <obj> Live_In	0	en
train-56	/path/to/datasets/conll04/audio/train/train-56.wav:0:101251	6328	101251	<triplet> GSA Depot <subj> Davisville <obj> Located_In <subj> R.I. <obj> Located_In <triplet> Davisville <subj> R.I. <obj> Located_In <triplet> Mineral Wells <subj> Texas <obj> Located_In	0	en
train-57	/path/to/datasets/conll04/audio/train/train-57.wav:0:207877	12992	207877	<triplet> Mrs. Parks <subj> Montgomery <obj> Live_In <subj> Ala. <obj> Live_In <triplet> Montgomery <subj> Ala. <obj> Located_In	0	en
train-58	/path/to/datasets/conll04/audio/train/train-58.wav:0:159951	9996	159951	<triplet> Sirhan <subj> Kennedy <obj> Kill	0	en
train-59	/path/to/datasets/conll04/audio/train/train-59.wav:0:249116	15569	249116	<triplet> Caracas <subj> Venezuela <obj> Located_In <triplet> Carlos Andres Perez <subj> Caracas <obj> Live_In <subj> Venezuela <obj> Live_In	0	en
train-60	/path/to/datasets/conll04/audio/train/train-60.wav:0:245772	15360	245772	<triplet> Rogers <subj> Fort Worth , Texas <obj> Live_In	0	en
train-61	/path/to/datasets/conll04/audio/train/train-61.wav:0:75988	4749	75988	<triplet> Sirhan <subj> Kennedy <obj> Kill	0	en
train-62	/path/to/datasets/conll04/audio/train/train-62.wav:0:148063	9253	148063	<triplet> Nsukka <subj> Nigeria <obj> Located_In	0	en
train-63	/path/to/datasets/conll04/audio/train/train-63.wav:0:138403	8650	138403	<triplet> Denver <subj> Colorado <obj> Located_In	0	en
train-64	/path/to/datasets/conll04/audio/train/train-64.wav:0:167010	10438	167010	<triplet> Edward Marks <subj> Montgomery County Democratic Party <obj> Work_For	0	en
train-65	/path/to/datasets/conll04/audio/train/train-65.wav:0:33635	2102	33635	<triplet> IZVESTIYA <subj> Moscow <obj> OrgBased_In	0	en
train-66	/path/to/datasets/conll04/audio/train/train-66.wav:0:158837	9927	158837	<triplet> St. Nicholas Hospital <subj> Gosforth <obj> OrgBased_In <subj> England <obj> OrgBased_In <triplet> Gosforth <subj> England <obj> Located_In	0	en
train-67	/path/to/datasets/conll04/audio/train/train-67.wav:0:95307	5956	95307	<triplet> ROYAL OAK <subj> Mich . <obj> Located_In	0	en
train-68	/path/to/datasets/conll04/audio/train/train-68.wav:0:240199	15012	240199	<triplet> Aleksandr Kruhlow <subj> Sevastopol <obj> Live_In	0	en
train-69	/path/to/datasets/conll04/audio/train/train-69.wav:0:135802	8487	135802	<triplet> Kenneth Compton. <subj> Coast Guard <obj> Work_For	0	en
train-70	/path/to/datasets/conll04/audio/train/train-70.wav:0:261376	16336	261376	<triplet> Lee Harvey Oswald <subj> Kennedy <obj> Kill	0	en
train-71	/path/to/datasets/conll04/audio/train/train-71.wav:0:80446	5027	80446	<triplet> George Gershwin <subj> New York <obj> Live_In	0	en
train-72	/path/to/datasets/conll04/audio/train/train-72.wav:0:256546	16034	256546	<triplet> Marvin Feuerwerger <subj> Washington Institute for Near East Policy <obj> Work_For	0	en
train-73	/path/to/datasets/conll04/audio/train/train-73.wav:0:169611	10600	169611	<triplet> Atomenergoproekt institute <subj> St. Petersburg <obj> OrgBased_In	0	en
train-74	/path/to/datasets/conll04/audio/train/train-74.wav:0:213450	13340	213450	<triplet> Barry Goldwater <subj> Arizona <obj> Live_In	0	en
train-75	/path/to/datasets/conll04/audio/train/train-75.wav:0:169611	10600	169611	<triplet> Jose Tulio Gomez <subj> DIMA <obj> Work_For	0	en
train-76	/path/to/datasets/conll04/audio/train/train-76.wav:0:282924	17682	282924	<triplet> Gen. William C. Westmoreland <subj> South Carolina <obj> Live_In	0	en
train-77	/path/to/datasets/conll04/audio/train/train-77.wav:0:134316	8394	134316	<triplet> Mrs. Cicippio <subj> Beirut. <obj> Live_In <triplet> American Embassy <subj> Beirut. <obj> Located_In	0	en
train-78	/path/to/datasets/conll04/audio/train/train-78.wav:0:191902	11993	191902	<triplet> Lee Harvey Oswald <subj> President Kennedy <obj> Kill	0	en
train-79	/path/to/datasets/conll04/audio/train/train-79.wav:0:44780	2798	44780	<triplet> BELGRADE <subj> Yugoslavia <obj> Located_In <triplet> AP <subj> BELGRADE <obj> OrgBased_In <subj> Yugoslavia <obj> OrgBased_In	0	en
train-80	/path/to/datasets/conll04/audio/train/train-80.wav:0:235741	14733	235741	<triplet> Kenneth Earl Millikan <subj> Peter J. Martinelli <obj> Kill	0	en
train-81	/path/to/datasets/conll04/audio/train/train-81.wav:0:140261	8766	140261	<triplet> Mrs. Vogt <subj> Akron ,Ohio <obj> Live_In	0	en
train-82	/path/to/datasets/conll04/audio/train/train-82.wav:0:194502	12156	194502	<triplet> Ms. Barrow <subj> High Island <obj> Live_In	0	en
train-83	/path/to/datasets/conll04/audio/train/train-83.wav:0:240571	15035	240571	<triplet> George Lucas <subj> Modesto <obj> Live_In	0	en
train-84	/path/to/datasets/conll04/audio/train/train-84.wav:0:245401	15337	245401	<triplet> William Leonard Jennings <subj> Stephen <obj> Kill	0	en
train-85	/path/to/datasets/conll04/audio/train/train-85.wav:0:196732	12295	196732	<triplet> Vsevolod Fadeyev <subj> Pacific Fleet <obj> Work_For	0	en
train-86	/path/to/datasets/conll04/audio/train/train-86.wav:0:203419	12713	203419	<triplet> Chapman <subj> John Lennon <obj> Kill	0	en
train-87	/path/to/datasets/conll04/audio/train/train-87.wav:0:179642	11227	179642	<triplet> STOCKTON-ON-TEES <subj> England <obj> Located_In <triplet> AP <subj> STOCKTON-ON-TEES <obj> OrgBased_In <subj> England <obj> OrgBased_In <triplet> Michael Minns <subj> STOCKTON-ON-TEES <obj> Live_In <subj> England <obj> Live_In <subj> AP <obj> Work_For	0	en
train-88	/path/to/datasets/conll04/audio/train/train-88.wav:0:24347	1521	24347	<triplet> EFE <subj> Madrid <obj> OrgBased_In	0	en
train-89	/path/to/datasets/conll04/audio/train/train-89.wav:0:210849	13178	210849	<triplet> Booth <subj> Lincoln <obj> Kill	0	en
train-90	/path/to/datasets/conll04/audio/train/train-90.wav:0:263234	16452	263234	<triplet> David Pimentel <subj> Cornell University. <obj> Work_For	0	en
train-91	/path/to/datasets/conll04/audio/train/train-91.wav:0:317847	19865	317847	<triplet> Drazen Budisa <subj> Croatian Social Liberal Party <obj> Work_For	0	en
train-92	/path/to/datasets/conll04/audio/train/train-92.wav:0:175926	10995	175926	<triplet> Moscow <subj> Soviet <obj> Located_In	0	en
train-93	/path/to/datasets/conll04/audio/train/train-93.wav:0:138775	8673	138775	<triplet> Serbia <subj> Yugoslavia <obj> Located_In <triplet> Montenegro <subj> Yugoslavia <obj> Located_In	0	en
train-94	/path/to/datasets/conll04/audio/train/train-94.wav:0:84533	5283	84533	<triplet> Edgar Allan Poe <subj> Boston <obj> Live_In	0	en
train-95	/path/to/datasets/conll04/audio/train/train-95.wav:0:109053	6815	109053	<triplet> Covington <subj> Okla. <obj> Located_In	0	en
train-96	/path/to/datasets/conll04/audio/train/train-96.wav:0:191159	11947	191159	<triplet> Michael Holtcamp <subj> Huntsville <obj> Live_In <subj> Alabama <obj> Live_In <triplet> Huntsville <subj> Alabama <obj> Located_In	0	en
train-97	/path/to/datasets/conll04/audio/train/train-97.wav:0:69672	4354	69672	<triplet> W. Dale Nelson <subj> The Associated Press <obj> Work_For	0	en
train-98	/path/to/datasets/conll04/audio/train/train-98.wav:0:220137	13758	220137	<triplet> Lee Harvey Oswald <subj> President Kennedy <obj> Kill	0	en
train-99	/path/to/datasets/conll04/audio/train/train-99.wav:0:210849	13178	210849	<triplet> Supreme Court <subj> Canada <obj> OrgBased_In	0	en
train-100	/path/to/datasets/conll04/audio/train/train-100.wav:0:154378	9648	154378	<triplet> Ray <subj> King <obj> Kill	0	en
train-101	/path/to/datasets/conll04/audio/train/train-101.wav:0:388064	24254	388064	<triplet> Centro Nacional de Microelectronica <subj> Barcelona <obj> OrgBased_In	0	en
train-102	/path/to/datasets/conll04/audio/train/train-102.wav:0:26947	1684	26947	<triplet> AFP <subj> Paris <obj> OrgBased_In	0	en
train-103	/path/to/datasets/conll04/audio/train/train-103.wav:0:82675	5167	82675	<triplet> Igor Khmelnov <subj> Pacific Fleet <obj> Work_For	0	en
train-104	/path/to/datasets/conll04/audio/train/train-104.wav:0:135059	8441	135059	<triplet> Sirhan Sirhan <subj> New York Sen. Robert F. Kennedy <obj> Kill	0	en
train-105	/path/to/datasets/conll04/audio/train/train-105.wav:0:117598	7349	117598	<triplet> Henry Ford <subj> Dearborn Township , Mich <obj> Live_In	0	en
train-106	/path/to/datasets/conll04/audio/train/train-106.wav:0:159951	9996	159951	<triplet> Elvis Presley <subj> Tupelo , Miss <obj> Live_In	0	en
train-107	/path/to/datasets/conll04/audio/train/train-107.wav:0:48124	3007	48124	<triplet> ADDIS ABABA <subj> Ethiopia <obj> Located_In	0	en
train-108	/path/to/datasets/conll04/audio/train/train-108.wav:0:189301	11831	189301	<triplet> Sirhan B. Sirhan <subj> Kennedy <obj> Kill	0	en
train-109	/path/to/datasets/conll04/audio/train/train-109.wav:0:90106	5631	90106	<triplet> Babe Ruth <subj> Baltimore <obj> Live_In	0	en
train-110	/path/to/datasets/conll04/audio/train/train-110.wav:0:113140	7071	113140	<triplet> NASA <subj> U.S. <obj> OrgBased_In	0	en
train-111	/path/to/datasets/conll04/audio/train/train-111.wav:0:190043	11877	190043	<triplet> Leroy Ivy <subj> Lee County Circuit Judge Thomas Gardner III. <obj> Kill <triplet> John Henry Ivy <subj> Lee County Circuit Judge Thomas Gardner III. <obj> Kill	0	en
train-112	/path/to/datasets/conll04/audio/train/train-112.wav:0:166639	10414	166639	<triplet> Madonna <subj> Bay City , Mich. <obj> Live_In	0	en
train-113	/path/to/datasets/conll04/audio/train/train-113.wav:0:181128	11320	181128	<triplet> Supreme Court <subj> Cape Town <obj> OrgBased_In <triplet> J.H. Berman <subj> Cape Town <obj> Live_In <subj> Supreme Court <obj> Work_For	0	en
train-114	/path/to/datasets/conll04/audio/train/train-114.wav:0:26947	1684	26947	<triplet> AFP <subj> Paris <obj> OrgBased_In	0	en
train-115	/path/to/datasets/conll04/audio/train/train-115.wav:0:155493	9718	155493	<triplet> Andrew Stephens <subj> Eaglebrook Plastics <obj> Work_For	0	en
train-116	/path/to/datasets/conll04/audio/train/train-116.wav:0:100137	6258	100137	<triplet> George Gershwin <subj> Brooklyn , N.Y. <obj> Live_In	0	en
train-117	/path/to/datasets/conll04/audio/train/train-117.wav:0:157722	9857	157722	<triplet> Roger Jacobsen <subj> Burlington <obj> Work_For	0	en
train-118	/path/to/datasets/conll04/audio/train/train-118.wav:0:182614	11413	182614	<triplet> Lee Harvey Oswald <subj> Kennedy <obj> Kill	0	en
train-119	/path/to/datasets/conll04/audio/train/train-119.wav:0:307816	19238	307816	<triplet> PAN <subj> Mexico <obj> OrgBased_In <triplet> National Action Party <subj> Mexico <obj> OrgBased_In <triplet> Fernandez de Cevallos <subj> Mexico <obj> Live_In <subj> PAN <obj> Work_For <subj> National Action Party <obj> Work_For	0	en
train-120	/path/to/datasets/conll04/audio/train/train-120.wav:0:93448	5840	93448	<triplet> Batavia <subj> N.Y. <obj> Located_In	0	en
train-121	/path/to/datasets/conll04/audio/train/train-121.wav:0:268063	16753	268063	<triplet> Ms. Toth <subj> Germantown <obj> Live_In	0	en
train-122	/path/to/datasets/conll04/audio/train/train-122.wav:0:206020	12876	206020	<triplet> Javier Perez de Cuellar <subj> U.N. <obj> Work_For	0	en
train-123	/path/to/datasets/conll04/audio/train/train-123.wav:0:104595	6537	104595	<triplet> Mr. Vee <subj> Fargo <obj> Live_In	0	en
train-124	/path/to/datasets/conll04/audio/train/train-124.wav:0:172211	10763	172211	<triplet> Ray Martinez <subj> Charles Whitman <obj> Kill	0	en
train-125	/path/to/datasets/conll04/audio/train/train-125.wav:0:244286	15267	244286	<triplet> Quayle <subj> Huntington Herald-Press <obj> Work_For	0	en
train-126	/path/to/datasets/conll04/audio/train/train-126.wav:0:209362	13085	209362	<triplet> James Earl Ray <subj> Martin Luther King Jr. <obj> Kill <triplet> Brushy Mountain Penitentiary <subj> Tennessee <obj> Located_In	0	en
train-127	/path/to/datasets/conll04/audio/train/train-127.wav:0:166267	10391	166267	<triplet> Sirhan Sirhan <subj> Kennedy <obj> Kill	0	en
train-128	/path/to/datasets/conll04/audio/train/train-128.wav:0:226453	14153	226453	<triplet> Dwight D. Eisenhower <subj> Denison , Texas <obj> Live_In	0	en
train-129	/path/to/datasets/conll04/audio/train/train-129.wav:0:24718	1544	24718	<triplet> AP <subj> NEW ORLEANS <obj> OrgBased_In	0	en
train-130	/path/to/datasets/conll04/audio/train/train-130.wav:0:198961	12435	198961	<triplet> German Government <subj> Germany <obj> OrgBased_In	0	en
train-131	/path/to/datasets/conll04/audio/train/train-131.wav:0:201190	12574	201190	<triplet> John Leyden <subj> Federal Aviation Administration <obj> Work_For	0	en
train-132	/path/to/datasets/conll04/audio/train/train-132.wav:0:29176	1823	29176	<triplet> AL-AHALI <subj> Cairo <obj> OrgBased_In	0	en
train-133	/path/to/datasets/conll04/audio/train/train-133.wav:0:45152	2822	45152	<triplet> Radio France International <subj> Paris <obj> OrgBased_In	0	en
train-134	/path/to/datasets/conll04/audio/train/train-134.wav:0:70787	4424	70787	<triplet> Carbondale Mining Technology Center <subj> Carterville <obj> Located_In <subj> Ill. <obj> Located_In <triplet> Carterville <subj> Ill. <obj> Located_In	0	en
train-135	/path/to/datasets/conll04/audio/train/train-135.wav:0:143976	8998	143976	<triplet> Mary <subj> Rock Hill <obj> Live_In	0	en
train-136	/path/to/datasets/conll04/audio/train/train-136.wav:0:131344	8209	131344	<triplet> Karl Malden <subj> Vanderbilt University <obj> Work_For	0	en
train-137	/path/to/datasets/conll04/audio/train/train-137.wav:0:92335	5770	92335	<triplet> Emily Dickinson <subj> Amherst , Mass <obj> Live_In	0	en
train-138	/path/to/datasets/conll04/audio/train/train-138.wav:0:192273	12017	192273	<triplet> Lee Harvey Oswald <subj> Kennedy <obj> Kill	0	en
train-139	/path/to/datasets/conll04/audio/train/train-139.wav:0:168868	10554	168868	<triplet> William Doyle <subj> Manhattan <obj> Live_In	0	en
train-140	/path/to/datasets/conll04/audio/train/train-140.wav:0:182614	11413	182614	<triplet> Sara Matzar <subj> Pabnjachel <obj> Live_In <subj> Solola <obj> Live_In <triplet> Pabnjachel <subj> Solola <obj> Located_In	0	en
train-141	/path/to/datasets/conll04/audio/train/train-141.wav:0:94192	5887	94192	<triplet> Paul Revere <subj> Boston <obj> Live_In	0	en
train-142	/path/to/datasets/conll04/audio/train/train-142.wav:0:109053	6815	109053	<triplet> Great Wall firm <subj> China <obj> OrgBased_In	0	en
train-143	/path/to/datasets/conll04/audio/train/train-143.wav:0:119084	7442	119084	<triplet> Baghdad <subj> Iraq <obj> Located_In	0	en
train-144	/path/to/datasets/conll04/audio/train/train-144.wav:0:224224	14014	224224	<triplet> Alan Cranston <subj> Senate Committee on Veterans Affairs <obj> Work_For	0	en
train-145	/path/to/datasets/conll04/audio/train/train-145.wav:0:465340	29083	465340	<triplet> Gerald McEntee <subj> American Federation of State , County and Municipal Employees <obj> Work_For	0	en
train-146	/path/to/datasets/conll04/audio/train/train-146.wav:0:123542	7721	123542	<triplet> Hernandez Galicia <subj> Ciudad Madero <obj> Live_In	0	en
train-147	/path/to/datasets/conll04/audio/train/train-147.wav:0:493204	30825	493204	<triplet> Kamchatka <subj> Okhotsk Sea <obj> Located_In	0	en
train-148	/path/to/datasets/conll04/audio/train/train-148.wav:0:138032	8627	138032	<triplet> Jean Hackett <subj> New York City <obj> Live_In	0	en
train-149	/path/to/datasets/conll04/audio/train/train-149.wav:0:186329	11645	186329	<triplet> Vasquez <subj> John Walker <obj> Kill <subj> Alberto Radelat <obj> Kill	0	en
train-150	/path/to/datasets/conll04/audio/train/train-150.wav:0:292212	18263	292212	<triplet> Khieu Samphan <subj> Khmer Rouge <obj> Work_For	0	en
train-151	/path/to/datasets/conll04/audio/train/train-151.wav:0:162180	10136	162180	<triplet> Aharon Levran <subj> Bar-Ilan University <obj> Work_For <subj> Center for Strategic Studies <obj> Work_For	0	en
train-152	/path/to/datasets/conll04/audio/train/train-152.wav:0:108681	6792	108681	<triplet> Lucy Stone <subj> Brookfield , Mass <obj> Live_In	0	en
train-153	/path/to/datasets/conll04/audio/train/train-153.wav:0:54068	3379	54068	<triplet> Leonid Vinogradov <subj> ITAR-TASS <obj> Work_For	0	en
train-154	/path/to/datasets/conll04/audio/train/train-154.wav:0:76731	4795	76731	<triplet> Lee Harvey Oswald <subj> President Kennedy <obj> Kill	0	en
train-155	/path/to/datasets/conll04/audio/train/train-155.wav:0:100508	6281	100508	<triplet> Richard Celeste. <subj> Ohio <obj> Live_In	0	en
train-156	/path/to/datasets/conll04/audio/train/train-156.wav:0:130973	8185	130973	<triplet> Quebec <subj> North America <obj> Located_In	0	en
train-157	/path/to/datasets/conll04/audio/train/train-157.wav:0:104223	6513	104223	<triplet> Campbell Farm <subj> Wapato <obj> Located_In	0	en
train-158	/path/to/datasets/conll04/audio/train/train-158.wav:0:32892	2055	32892	<triplet> HUNTINGTON <subj> Ind . <obj> Located_In	0	en
train-159	/path/to/datasets/conll04/audio/train/train-159.wav:0:193759	12109	193759	<triplet> Sturholm <subj> KIRO. <obj> Work_For <triplet> Kathryn Rich <subj> KIRO. <obj> Work_For	0	en
train-160	/path/to/datasets/conll04/audio/train/train-160.wav:0:195989	12249	195989	<triplet> Jesse Jackson <subj> South Carolina <obj> Live_In	0	en
train-161	/path/to/datasets/conll04/audio/train/train-161.wav:0:34749	2171	34749	<triplet> Radio Lebanon <subj> Beirut <obj> OrgBased_In	0	en
train-162	/path/to/datasets/conll04/audio/train/train-162.wav:0:271778	16986	271778	<triplet> Dennis DeConcini <subj> Senate Appropriations treasury and postal subcommittee <obj> Work_For	0	en
